freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.256e+03,3.542e+01,3.564e+01,1.327e+03
1.6,7.346e+02,7.047e+01,4.069e+01,8.457e+02
3.2,5.027e+01,6.371e+01,3.111e+01,1.451e+02
4.8,4.096e+02,7.420e+01,3.821e+01,5.221e+02
6.4,1.268e+03,6.667e+01,8.733e+01,1.422e+03
8.0,2.147e+03,7.101e+01,1.445e+02,2.363e+03
9.6,3.068e+03,7.006e+01,6.106e+01,3.199e+03
11.2,3.280e+03,7.456e+01,3.580e+01,3.390e+03
12.8,4.231e+03,7.266e+01,3.463e+01,4.338e+03
14.4,5.620e+03,6.592e+01,3.791e+01,5.724e+03
16.0,7.133e+03,7.045e+01,3.568e+01,7.239e+03
17.6,8.854e+03,8.552e+01,3.380e+01,8.973e+03
19.2,1.030e+04,1.569e+02,3.652e+01,1.049e+04
20.8,1.091e+04,1.664e+02,3.920e+01,1.112e+04
22.4,1.271e+04,1.065e+02,5.757e+01,1.288e+04
24.0,1.473e+04,1.029e+02,1.151e+02,1.495e+04
25.6,1.677e+04,1.165e+02,1.506e+02,1.703e+04
27.2,1.913e+04,1.134e+02,1.700e+02,1.941e+04
28.8,2.192e+04,1.300e+02,1.850e+02,2.224e+04
30.4,2.423e+04,1.374e+02,2.003e+02,2.457e+04
32.0,2.636e+04,1.168e+02,2.019e+02,2.667e+04
33.6,2.987e+04,8.816e+01,2.024e+02,3.016e+04
35.2,3.357e+04,7.713e+01,2.536e+02,3.390e+04
36.8,3.668e+04,7.710e+01,3.425e+02,3.709e+04
38.4,4.011e+04,7.733e+01,4.349e+02,4.062e+04
40.0,4.339e+04,6.821e+01,5.357e+02,4.399e+04
41.6,4.784e+04,7.212e+01,6.145e+02,4.853e+04
43.2,5.184e+04,8.431e+01,7.202e+02,5.264e+04
44.8,5.551e+04,8.588e+01,8.700e+02,5.647e+04
46.4,6.194e+04,9.592e+01,1.075e+03,6.311e+04
48.0,6.840e+04,9.543e+01,1.309e+03,6.980e+04
49.6,7.247e+04,1.025e+02,1.538e+03,7.411e+04
51.2,7.833e+04,1.274e+02,1.909e+03,8.036e+04
52.8,8.804e+04,1.506e+02,2.467e+03,9.065e+04
54.4,9.842e+04,1.723e+02,3.001e+03,1.016e+05
56.0,1.080e+05,1.918e+02,3.474e+03,1.116e+05
57.6,1.137e+05,2.156e+02,4.323e+03,1.183e+05
59.2,1.233e+05,2.345e+02,5.332e+03,1.289e+05
60.8,1.381e+05,2.445e+02,6.331e+03,1.447e+05
62.4,1.537e+05,2.568e+02,7.224e+03,1.612e+05
64.0,1.698e+05,2.855e+02,8.180e+03,1.782e+05
65.6,1.889e+05,3.593e+02,9.454e+03,1.987e+05
67.1,2.028e+05,4.531e+02,1.157e+04,2.148e+05
68.7,2.225e+05,5.321e+02,1.514e+04,2.382e+05
70.3,2.765e+05,6.962e+02,1.577e+04,2.929e+05
71.9,3.462e+05,7.493e+02,1.487e+04,3.619e+05
73.5,4.171e+05,8.836e+02,1.650e+04,4.344e+05
75.1,5.166e+05,2.139e+03,2.310e+04,5.418e+05
76.7,6.717e+05,8.518e+03,4.214e+04,7.223e+05
78.3,8.480e+05,2.601e+04,8.510e+04,9.591e+05
79.9,1.049e+06,3.853e+04,1.221e+05,1.210e+06
81.5,1.195e+06,2.799e+04,1.203e+05,1.343e+06
83.1,1.350e+06,1.554e+04,9.879e+04,1.464e+06
84.7,1.740e+06,8.552e+03,7.051e+04,1.819e+06
86.3,1.947e+06,4.116e+03,4.088e+04,1.992e+06
87.9,1.709e+06,2.610e+03,2.111e+04,1.732e+06
89.5,1.786e+06,1.723e+03,7.887e+03,1.795e+06
91.1,2.747e+06,8.834e+02,1.187e+04,2.760e+06
92.7,4.779e+06,7.122e+02,2.700e+04,4.807e+06
94.3,7.589e+06,7.061e+02,3.782e+04,7.628e+06
95.9,1.016e+07,9.858e+02,4.859e+04,1.021e+07
97.5,1.165e+07,2.685e+03,6.825e+04,1.172e+07
99.1,1.188e+07,6.510e+03,9.396e+04,1.198e+07
100.7,1.109e+07,1.211e+04,1.207e+05,1.123e+07
102.3,9.932e+06,2.088e+04,1.539e+05,1.011e+07
103.9,8.545e+06,3.484e+04,2.013e+05,8.781e+06
105.5,6.621e+06,6.112e+04,2.628e+05,6.944e+06
107.1,5.521e+06,1.340e+05,3.766e+05,6.032e+06
108.7,4.494e+06,2.329e+05,4.467e+05,5.173e+06
110.3,3.643e+06,2.441e+05,3.224e+05,4.210e+06
111.9,3.280e+06,1.720e+05,1.512e+05,3.604e+06
113.5,2.993e+06,1.108e+05,6.494e+04,3.169e+06
115.1,2.747e+06,7.239e+04,3.050e+04,2.850e+06
116.7,2.565e+06,4.640e+04,1.809e+04,2.630e+06
118.3,2.403e+06,3.008e+04,1.879e+04,2.452e+06
119.9,2.239e+06,2.056e+04,2.562e+04,2.286e+06
121.5,2.080e+06,1.644e+04,3.336e+04,2.130e+06
123.1,1.924e+06,1.542e+04,3.979e+04,1.979e+06
124.7,1.797e+06,1.557e+04,4.517e+04,1.857e+06
126.3,1.713e+06,1.897e+04,4.825e+04,1.780e+06
127.9,1.685e+06,2.351e+04,4.932e+04,1.758e+06
129.5,1.671e+06,2.372e+04,5.087e+04,1.746e+06
131.1,1.646e+06,2.351e+04,5.257e+04,1.722e+06
132.7,1.096e+06,1.713e+04,3.639e+04,1.149e+06
134.3,1.766e+05,2.810e+03,6.076e+03,1.855e+05
135.9,2.717e+04,3.448e+02,1.121e+03,2.863e+04
137.5,2.376e+04,3.601e+02,1.092e+03,2.521e+04
139.1,2.095e+04,4.266e+02,1.014e+03,2.239e+04
140.7,2.005e+04,5.365e+02,9.121e+02,2.150e+04
142.3,1.966e+04,6.914e+02,8.384e+02,2.119e+04
143.9,1.885e+04,9.464e+02,8.137e+02,2.061e+04
145.5,1.852e+04,1.349e+03,7.715e+02,2.064e+04
147.1,1.859e+04,2.183e+03,7.638e+02,2.154e+04
148.7,2.030e+04,4.392e+03,8.902e+02,2.558e+04
150.3,2.162e+04,7.426e+03,1.069e+03,3.012e+04
151.9,1.986e+04,8.184e+03,1.107e+03,2.916e+04
153.5,1.839e+04,7.445e+03,1.069e+03,2.690e+04
155.1,1.771e+04,8.740e+03,9.797e+02,2.743e+04
156.7,1.708e+04,1.234e+04,9.260e+02,3.035e+04
158.3,1.624e+04,1.489e+04,8.982e+02,3.203e+04
159.9,1.540e+04,1.370e+04,9.298e+02,3.004e+04
161.5,1.491e+04,1.104e+04,1.219e+03,2.717e+04
163.1,1.373e+04,7.966e+03,1.350e+03,2.304e+04
164.7,1.325e+04,5.936e+03,1.543e+03,2.073e+04
166.3,1.378e+04,4.874e+03,1.870e+03,2.053e+04
167.9,1.526e+04,4.763e+03,2.171e+03,2.220e+04
169.5,1.755e+04,4.867e+03,2.537e+03,2.495e+04
171.1,2.119e+04,4.461e+03,3.095e+03,2.875e+04
172.7,2.293e+04,3.245e+03,3.279e+03,2.946e+04
174.3,1.811e+04,2.119e+03,2.585e+03,2.281e+04
175.9,1.520e+04,1.555e+03,2.103e+03,1.886e+04
177.5,1.420e+04,8.371e+02,1.786e+03,1.682e+04
179.1,1.503e+04,1.273e+03,1.483e+03,1.779e+04
180.7,1.932e+04,3.321e+03,1.297e+03,2.394e+04
182.3,2.879e+04,6.684e+03,1.244e+03,3.672e+04
183.9,3.758e+04,7.389e+03,1.310e+03,4.627e+04
185.5,3.810e+04,6.102e+03,1.529e+03,4.573e+04
187.1,3.512e+04,4.967e+03,2.011e+03,4.210e+04
188.7,3.543e+04,4.619e+03,2.947e+03,4.300e+04
190.3,3.728e+04,4.817e+03,3.998e+03,4.609e+04
191.9,3.867e+04,4.749e+03,5.355e+03,4.877e+04
193.5,4.355e+04,4.862e+03,7.378e+03,5.579e+04
195.1,4.906e+04,6.609e+03,9.535e+03,6.521e+04
196.7,5.666e+04,8.448e+03,1.246e+04,7.757e+04
198.3,6.589e+04,9.091e+03,1.496e+04,8.994e+04
199.9,7.701e+04,8.136e+03,1.805e+04,1.032e+05
