freq,psd_x,psd_y,psd_z,psd_xyz
146.8,1.859e+04,1.538e+04,8.168e+03,4.214e+04
148.4,1.105e+04,1.311e+04,5.915e+03,3.008e+04
150.0,6.996e+03,1.233e+04,4.691e+03,2.402e+04
151.5,4.826e+03,1.265e+04,4.359e+03,2.184e+04
153.1,4.091e+03,1.180e+04,4.314e+03,2.021e+04
154.7,4.393e+03,1.158e+04,4.621e+03,2.059e+04
156.3,5.355e+03,1.310e+04,5.144e+03,2.360e+04
157.8,6.630e+03,1.656e+04,6.026e+03,2.922e+04
159.4,7.708e+03,2.208e+04,8.959e+03,3.875e+04
161.0,9.577e+03,2.533e+04,1.230e+04,4.720e+04
162.6,9.548e+03,2.265e+04,1.241e+04,4.461e+04
164.2,9.112e+03,1.873e+04,1.258e+04,4.042e+04
165.7,9.942e+03,1.552e+04,1.311e+04,3.857e+04
167.3,9.870e+03,1.233e+04,1.335e+04,3.556e+04
168.9,9.409e+03,9.758e+03,1.342e+04,3.259e+04
170.5,9.228e+03,7.369e+03,1.381e+04,3.041e+04
172.1,9.067e+03,5.452e+03,1.408e+04,2.860e+04
173.6,8.262e+03,3.897e+03,1.370e+04,2.586e+04
175.2,7.304e+03,2.709e+03,1.338e+04,2.340e+04
176.8,6.615e+03,2.312e+03,1.366e+04,2.258e+04
178.4,5.348e+03,1.657e+03,1.356e+04,2.057e+04
179.9,5.005e+03,1.304e+03,1.366e+04,1.997e+04
181.5,5.309e+03,1.122e+03,1.380e+04,2.023e+04
183.1,5.866e+03,1.217e+03,1.434e+04,2.142e+04
184.7,6.245e+03,1.357e+03,1.459e+04,2.219e+04
186.3,6.454e+03,1.528e+03,1.483e+04,2.282e+04
187.8,7.210e+03,1.532e+03,1.513e+04,2.388e+04
189.4,8.277e+03,1.753e+03,1.574e+04,2.577e+04
191.0,8.711e+03,2.173e+03,1.778e+04,2.867e+04
192.6,8.237e+03,2.432e+03,2.034e+04,3.101e+04
194.2,9.066e+03,2.951e+03,2.215e+04,3.416e+04
195.7,1.228e+04,3.852e+03,2.504e+04,4.117e+04
197.3,1.314e+04,4.088e+03,2.699e+04,4.422e+04
198.9,1.264e+04,4.191e+03,2.779e+04,4.461e+04
