freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.015e+00,1.875e+01,3.907e+02,4.155e+02
1.6,1.359e+01,2.149e+01,2.401e+02,2.752e+02
3.2,1.445e+01,1.605e+01,4.570e+01,7.620e+01
4.8,2.405e+01,1.658e+01,4.456e+02,4.862e+02
6.4,4.515e+01,1.486e+01,1.116e+03,1.176e+03
8.0,5.087e+01,1.578e+01,1.698e+03,1.765e+03
9.6,3.307e+01,1.680e+01,2.523e+03,2.572e+03
11.2,2.883e+01,1.720e+01,3.620e+03,3.666e+03
12.8,3.345e+01,1.685e+01,4.444e+03,4.494e+03
14.4,3.671e+01,1.615e+01,5.078e+03,5.131e+03
16.0,4.254e+01,1.737e+01,6.459e+03,6.519e+03
17.6,5.500e+01,2.569e+01,8.203e+03,8.284e+03
19.2,8.933e+01,7.341e+01,1.000e+04,1.017e+04
20.8,7.199e+01,1.047e+02,1.115e+04,1.132e+04
22.4,4.634e+01,1.119e+02,1.317e+04,1.333e+04
24.0,6.019e+01,1.405e+02,1.635e+04,1.655e+04
25.6,7.702e+01,1.882e+02,1.906e+04,1.932e+04
27.2,7.145e+01,2.092e+02,2.057e+04,2.085e+04
28.8,5.364e+01,1.863e+02,2.179e+04,2.203e+04
30.4,3.841e+01,1.276e+02,2.379e+04,2.396e+04
32.0,2.815e+01,8.287e+01,2.680e+04,2.691e+04
33.6,2.597e+01,6.988e+01,3.033e+04,3.042e+04
35.2,2.424e+01,5.717e+01,3.370e+04,3.378e+04
36.8,2.585e+01,4.303e+01,3.750e+04,3.757e+04
38.4,2.770e+01,3.181e+01,4.212e+04,4.218e+04
40.0,3.330e+01,2.507e+01,4.658e+04,4.664e+04
41.6,3.418e+01,2.852e+01,5.333e+04,5.339e+04
43.2,3.143e+01,3.028e+01,5.849e+04,5.855e+04
44.8,3.374e+01,3.261e+01,6.365e+04,6.372e+04
46.4,3.875e+01,5.158e+01,7.402e+04,7.411e+04
48.0,4.420e+01,8.851e+01,8.483e+04,8.497e+04
49.6,4.547e+01,1.249e+02,9.410e+04,9.427e+04
51.2,5.851e+01,2.128e+02,1.057e+05,1.060e+05
52.8,1.186e+02,2.502e+02,1.161e+05,1.165e+05
54.5,1.748e+02,1.919e+02,1.299e+05,1.303e+05
56.1,1.594e+02,2.314e+02,1.473e+05,1.477e+05
57.7,1.733e+02,4.180e+02,1.632e+05,1.638e+05
59.3,1.646e+02,8.735e+02,1.947e+05,1.958e+05
60.9,1.451e+02,1.639e+03,2.324e+05,2.342e+05
62.5,1.271e+02,1.821e+03,2.498e+05,2.517e+05
64.1,9.427e+01,1.044e+03,2.869e+05,2.881e+05
65.7,7.772e+01,6.647e+02,3.680e+05,3.687e+05
67.3,1.102e+02,9.805e+02,4.395e+05,4.406e+05
68.9,1.481e+02,1.835e+03,5.293e+05,5.312e+05
70.5,2.441e+02,3.637e+03,7.325e+05,7.364e+05
72.1,4.778e+02,7.536e+03,1.052e+06,1.060e+06
73.7,6.004e+02,1.455e+04,1.459e+06,1.475e+06
75.3,1.469e+03,2.479e+04,1.788e+06,1.814e+06
76.9,3.146e+03,3.617e+04,1.901e+06,1.941e+06
78.5,3.163e+03,4.319e+04,1.756e+06,1.802e+06
80.1,3.583e+03,4.863e+04,1.504e+06,1.556e+06
81.7,4.028e+03,5.330e+04,1.238e+06,1.295e+06
83.3,2.577e+03,5.233e+04,9.670e+05,1.022e+06
84.9,1.498e+03,5.088e+04,8.408e+05,8.932e+05
86.5,8.650e+02,5.056e+04,8.117e+05,8.632e+05
88.1,7.711e+02,5.612e+04,8.082e+05,8.651e+05
89.7,1.205e+03,7.104e+04,7.790e+05,8.513e+05
91.3,3.764e+03,9.319e+04,6.831e+05,7.801e+05
92.9,1.221e+04,1.150e+05,5.075e+05,6.347e+05
94.5,2.362e+04,1.191e+05,3.008e+05,4.435e+05
96.1,3.480e+04,1.138e+05,1.738e+05,3.224e+05
97.7,3.678e+04,1.043e+05,1.230e+05,2.640e+05
99.3,3.050e+04,8.980e+04,1.024e+05,2.227e+05
100.9,2.436e+04,8.096e+04,9.523e+04,2.005e+05
102.5,2.104e+04,7.021e+04,1.035e+05,1.947e+05
104.1,1.638e+04,5.192e+04,1.041e+05,1.724e+05
105.7,1.113e+04,3.433e+04,9.571e+04,1.412e+05
107.3,1.031e+04,2.526e+04,1.032e+05,1.388e+05
108.9,1.042e+04,1.959e+04,1.128e+05,1.428e+05
110.5,1.069e+04,1.545e+04,1.197e+05,1.459e+05
112.1,1.221e+04,1.302e+04,1.221e+05,1.474e+05
113.7,1.259e+04,1.146e+04,1.213e+05,1.453e+05
115.3,1.230e+04,1.030e+04,1.183e+05,1.409e+05
116.9,1.481e+04,9.697e+03,1.134e+05,1.379e+05
118.5,1.709e+04,9.696e+03,1.048e+05,1.316e+05
120.1,1.513e+04,9.463e+03,9.519e+04,1.198e+05
121.7,1.376e+04,9.000e+03,9.066e+04,1.134e+05
123.3,1.577e+04,8.221e+03,8.847e+04,1.125e+05
124.9,1.725e+04,7.532e+03,8.700e+04,1.118e+05
126.5,1.757e+04,7.163e+03,8.401e+04,1.088e+05
128.1,1.716e+04,6.930e+03,8.104e+04,1.051e+05
129.7,1.606e+04,6.707e+03,7.781e+04,1.006e+05
131.3,1.421e+04,6.507e+03,7.381e+04,9.452e+04
132.9,8.006e+03,4.143e+03,4.577e+04,5.792e+04
134.5,1.028e+03,7.222e+02,7.830e+03,9.580e+03
136.1,2.248e+02,2.850e+02,2.622e+03,3.132e+03
137.7,2.277e+02,2.701e+02,2.478e+03,2.976e+03
139.3,2.474e+02,2.197e+02,2.314e+03,2.781e+03
140.9,2.780e+02,2.049e+02,2.185e+03,2.668e+03
142.5,3.463e+02,2.361e+02,2.167e+03,2.749e+03
144.1,4.940e+02,3.328e+02,2.067e+03,2.893e+03
145.7,5.702e+02,4.910e+02,1.992e+03,3.053e+03
147.3,6.393e+02,5.928e+02,2.108e+03,3.340e+03
148.9,1.033e+03,5.281e+02,2.363e+03,3.925e+03
150.5,2.244e+03,1.116e+03,2.626e+03,5.986e+03
152.1,4.099e+03,2.975e+03,2.619e+03,9.693e+03
153.7,4.057e+03,5.884e+03,2.524e+03,1.246e+04
155.3,2.658e+03,9.100e+03,2.497e+03,1.426e+04
156.9,2.081e+03,1.052e+04,2.453e+03,1.506e+04
158.5,1.761e+03,8.237e+03,2.112e+03,1.211e+04
160.1,1.965e+03,5.290e+03,1.669e+03,8.924e+03
161.8,2.177e+03,4.100e+03,1.449e+03,7.725e+03
163.4,2.422e+03,3.953e+03,1.276e+03,7.651e+03
165.0,2.047e+03,2.878e+03,9.874e+02,5.912e+03
166.6,1.995e+03,2.055e+03,8.744e+02,4.924e+03
168.2,2.251e+03,1.831e+03,8.264e+02,4.909e+03
169.8,2.337e+03,1.782e+03,7.782e+02,4.897e+03
171.4,2.356e+03,1.771e+03,8.603e+02,4.987e+03
173.0,2.245e+03,1.645e+03,9.934e+02,4.884e+03
174.6,1.791e+03,1.275e+03,9.334e+02,4.000e+03
176.2,1.446e+03,9.765e+02,8.759e+02,3.299e+03
177.8,1.227e+03,7.920e+02,8.497e+02,2.869e+03
179.4,9.359e+02,5.931e+02,8.280e+02,2.357e+03
181.0,8.830e+02,5.163e+02,8.188e+02,2.218e+03
182.6,1.293e+03,6.373e+02,7.590e+02,2.689e+03
184.2,1.487e+03,7.719e+02,6.479e+02,2.907e+03
185.8,1.645e+03,9.521e+02,6.875e+02,3.285e+03
187.4,1.723e+03,1.075e+03,7.315e+02,3.530e+03
189.0,1.482e+03,9.736e+02,6.749e+02,3.130e+03
190.6,1.588e+03,8.849e+02,5.453e+02,3.018e+03
192.2,1.649e+03,8.843e+02,5.588e+02,3.092e+03
193.8,1.532e+03,7.979e+02,7.154e+02,3.045e+03
195.4,1.232e+03,6.133e+02,7.926e+02,2.637e+03
197.0,9.656e+02,4.711e+02,7.796e+02,2.216e+03
198.6,1.099e+03,4.090e+02,7.254e+02,2.233e+03
