freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.003e+01,2.902e+01,1.225e+03,1.294e+03
1.6,3.680e+01,3.979e+01,7.195e+02,7.960e+02
3.2,1.953e+01,2.784e+01,4.759e+01,9.495e+01
4.8,2.070e+01,2.789e+01,4.524e+02,5.010e+02
6.4,2.272e+01,3.321e+01,1.449e+03,1.504e+03
8.0,2.984e+01,3.197e+01,1.884e+03,1.946e+03
9.6,3.492e+01,3.228e+01,2.416e+03,2.483e+03
11.2,3.296e+01,3.294e+01,3.553e+03,3.619e+03
12.8,2.354e+01,3.049e+01,4.925e+03,4.979e+03
14.4,2.440e+01,2.895e+01,6.584e+03,6.637e+03
16.0,2.863e+01,2.902e+01,8.552e+03,8.610e+03
17.6,3.605e+01,3.330e+01,1.005e+04,1.012e+04
19.2,3.367e+01,3.970e+01,1.141e+04,1.148e+04
20.8,3.086e+01,4.060e+01,1.501e+04,1.508e+04
22.4,4.520e+01,3.740e+01,2.013e+04,2.021e+04
24.0,1.143e+02,5.223e+01,2.241e+04,2.258e+04
25.6,1.772e+02,7.357e+01,1.929e+04,1.954e+04
27.2,2.023e+02,7.814e+01,1.982e+04,2.010e+04
28.8,2.368e+02,8.888e+01,2.387e+04,2.419e+04
30.4,2.497e+02,1.070e+02,2.872e+04,2.908e+04
32.0,2.013e+02,1.402e+02,3.338e+04,3.372e+04
33.6,1.456e+02,1.090e+02,3.819e+04,3.845e+04
35.2,1.651e+02,7.025e+01,4.437e+04,4.461e+04
36.8,2.168e+02,4.879e+01,5.150e+04,5.176e+04
38.4,2.880e+02,4.198e+01,6.033e+04,6.066e+04
40.0,3.765e+02,4.368e+01,6.891e+04,6.933e+04
41.6,4.750e+02,4.589e+01,7.979e+04,8.031e+04
43.2,5.472e+02,3.911e+01,9.258e+04,9.317e+04
44.8,6.107e+02,4.617e+01,1.077e+05,1.083e+05
46.4,6.976e+02,5.833e+01,1.308e+05,1.315e+05
48.0,8.217e+02,7.645e+01,1.580e+05,1.589e+05
49.5,9.430e+02,1.006e+02,1.810e+05,1.820e+05
