freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.787e+02,1.480e+01,2.292e+01,3.164e+02
1.6,1.663e+02,3.636e+01,3.451e+01,2.372e+02
3.2,3.344e+01,3.325e+01,3.012e+01,9.681e+01
4.8,3.896e+02,3.077e+01,3.457e+01,4.549e+02
6.4,1.173e+03,3.115e+01,3.564e+01,1.240e+03
8.0,1.900e+03,3.075e+01,3.149e+01,1.962e+03
9.6,2.388e+03,3.071e+01,2.973e+01,2.449e+03
11.2,3.099e+03,3.504e+01,2.678e+01,3.161e+03
12.8,4.011e+03,3.966e+01,2.845e+01,4.079e+03
14.4,5.023e+03,3.569e+01,2.865e+01,5.087e+03
16.0,6.178e+03,3.411e+01,2.818e+01,6.240e+03
17.6,7.203e+03,3.553e+01,2.894e+01,7.267e+03
19.2,8.373e+03,4.742e+01,3.154e+01,8.451e+03
20.8,9.549e+03,6.054e+01,3.765e+01,9.647e+03
22.4,1.084e+04,6.062e+01,3.465e+01,1.094e+04
24.0,1.231e+04,5.195e+01,3.356e+01,1.239e+04
25.6,1.368e+04,4.553e+01,3.414e+01,1.375e+04
27.2,1.506e+04,4.276e+01,3.490e+01,1.514e+04
28.8,1.653e+04,4.468e+01,3.234e+01,1.661e+04
30.4,1.805e+04,4.666e+01,3.353e+01,1.813e+04
32.0,1.958e+04,4.456e+01,3.947e+01,1.966e+04
33.6,2.127e+04,4.167e+01,3.770e+01,2.134e+04
35.3,2.346e+04,3.774e+01,3.523e+01,2.353e+04
36.9,2.615e+04,4.026e+01,3.308e+01,2.623e+04
38.5,2.877e+04,4.546e+01,3.339e+01,2.885e+04
40.1,3.044e+04,4.476e+01,3.552e+01,3.052e+04
41.7,3.314e+04,4.002e+01,3.280e+01,3.321e+04
43.3,3.542e+04,3.869e+01,3.389e+01,3.549e+04
44.9,3.741e+04,3.686e+01,3.319e+01,3.748e+04
46.5,4.081e+04,3.685e+01,3.696e+01,4.088e+04
48.1,4.433e+04,3.547e+01,4.729e+01,4.442e+04
49.7,4.662e+04,4.509e+01,7.578e+01,4.674e+04
51.3,4.923e+04,9.995e+01,1.639e+02,4.949e+04
52.9,5.183e+04,1.857e+02,2.492e+02,5.227e+04
54.5,5.546e+04,1.916e+02,2.205e+02,5.588e+04
56.1,5.855e+04,1.793e+02,1.890e+02,5.892e+04
57.7,5.948e+04,1.406e+02,1.507e+02,5.977e+04
59.3,6.443e+04,1.358e+02,1.420e+02,6.470e+04
60.9,7.194e+04,3.137e+02,3.581e+02,7.261e+04
62.5,7.946e+04,6.020e+02,7.784e+02,8.084e+04
64.1,8.616e+04,7.327e+02,9.669e+02,8.786e+04
65.7,8.967e+04,7.184e+02,1.054e+03,9.144e+04
67.3,8.985e+04,6.975e+02,1.174e+03,9.173e+04
68.9,9.682e+04,7.931e+02,1.383e+03,9.900e+04
70.5,1.103e+05,9.450e+02,1.737e+03,1.130e+05
72.1,1.245e+05,1.156e+03,2.190e+03,1.279e+05
73.7,1.414e+05,1.436e+03,2.795e+03,1.456e+05
75.3,1.600e+05,1.899e+03,3.625e+03,1.655e+05
76.9,1.817e+05,2.764e+03,5.218e+03,1.897e+05
78.5,2.079e+05,4.156e+03,8.083e+03,2.202e+05
80.1,2.320e+05,6.239e+03,1.212e+04,2.504e+05
81.7,2.394e+05,8.542e+03,1.682e+04,2.648e+05
83.3,2.280e+05,9.706e+03,1.883e+04,2.566e+05
84.9,2.358e+05,1.061e+04,1.955e+04,2.660e+05
86.5,2.690e+05,1.301e+04,2.278e+04,3.048e+05
88.1,3.261e+05,1.952e+04,3.454e+04,3.801e+05
89.7,4.076e+05,3.153e+04,5.949e+04,4.986e+05
91.3,4.926e+05,5.490e+04,1.171e+05,6.646e+05
92.9,5.081e+05,9.055e+04,2.075e+05,8.062e+05
94.5,4.374e+05,1.076e+05,2.497e+05,7.947e+05
96.1,3.785e+05,9.253e+04,2.085e+05,6.796e+05
97.7,3.713e+05,7.577e+04,1.591e+05,6.062e+05
99.3,4.056e+05,6.897e+04,1.344e+05,6.089e+05
100.9,4.865e+05,6.048e+04,1.118e+05,6.588e+05
102.5,6.190e+05,5.185e+04,9.271e+04,7.636e+05
104.2,7.808e+05,4.705e+04,7.994e+04,9.077e+05
105.8,9.396e+05,4.373e+04,6.827e+04,1.052e+06
107.4,1.234e+06,4.652e+04,6.645e+04,1.347e+06
109.0,1.725e+06,5.196e+04,6.570e+04,1.842e+06
110.6,2.130e+06,4.897e+04,5.476e+04,2.234e+06
112.2,1.986e+06,4.115e+04,4.572e+04,2.073e+06
113.8,1.690e+06,3.326e+04,3.456e+04,1.757e+06
115.4,1.615e+06,2.769e+04,2.472e+04,1.667e+06
117.0,1.542e+06,2.322e+04,1.818e+04,1.583e+06
118.6,1.439e+06,2.004e+04,1.268e+04,1.472e+06
120.2,1.353e+06,1.813e+04,5.951e+03,1.377e+06
121.8,1.306e+06,1.577e+04,2.385e+03,1.324e+06
123.4,1.226e+06,1.241e+04,1.010e+03,1.239e+06
125.0,1.115e+06,9.288e+03,5.388e+02,1.125e+06
126.6,9.910e+05,6.721e+03,4.078e+02,9.982e+05
128.2,8.774e+05,4.949e+03,4.102e+02,8.827e+05
129.8,8.075e+05,3.144e+03,5.122e+02,8.112e+05
131.4,7.159e+05,1.695e+03,5.151e+02,7.181e+05
133.0,3.822e+05,6.484e+02,2.883e+02,3.831e+05
134.6,4.262e+04,8.903e+01,9.355e+01,4.280e+04
136.2,6.619e+03,4.402e+01,7.451e+01,6.737e+03
137.8,5.026e+03,6.582e+01,7.214e+01,5.164e+03
139.4,4.026e+03,6.781e+01,7.845e+01,4.172e+03
141.0,3.601e+03,5.105e+01,7.979e+01,3.732e+03
142.6,3.733e+03,5.340e+01,8.832e+01,3.875e+03
144.2,4.023e+03,8.504e+01,1.056e+02,4.214e+03
145.8,4.167e+03,1.714e+02,1.055e+02,4.444e+03
147.4,4.422e+03,3.098e+02,1.052e+02,4.837e+03
149.0,5.743e+03,5.240e+02,1.060e+02,6.373e+03
150.6,6.597e+03,8.944e+02,1.253e+02,7.617e+03
152.2,5.532e+03,1.431e+03,1.446e+02,7.107e+03
153.8,4.365e+03,2.489e+03,1.618e+02,7.016e+03
155.4,3.668e+03,4.443e+03,1.917e+02,8.303e+03
157.0,3.573e+03,6.001e+03,2.446e+02,9.818e+03
158.6,3.560e+03,4.739e+03,2.413e+02,8.540e+03
160.2,3.338e+03,2.613e+03,2.325e+02,6.184e+03
161.8,2.872e+03,1.640e+03,2.245e+02,4.736e+03
163.4,2.507e+03,1.554e+03,2.198e+02,4.281e+03
165.0,2.473e+03,1.513e+03,1.858e+02,4.171e+03
166.6,2.452e+03,1.113e+03,1.724e+02,3.737e+03
168.2,2.570e+03,8.952e+02,2.007e+02,3.666e+03
169.8,3.065e+03,1.025e+03,2.351e+02,4.325e+03
171.5,4.341e+03,1.415e+03,2.531e+02,6.009e+03
173.1,5.324e+03,1.527e+03,2.402e+02,7.091e+03
174.7,5.003e+03,1.253e+03,1.887e+02,6.445e+03
176.3,4.502e+03,9.801e+02,1.753e+02,5.657e+03
177.9,3.911e+03,7.587e+02,1.712e+02,4.841e+03
179.5,3.547e+03,6.737e+02,1.675e+02,4.388e+03
181.1,3.409e+03,6.909e+02,1.653e+02,4.265e+03
182.7,3.433e+03,7.509e+02,1.622e+02,4.347e+03
184.3,3.140e+03,7.186e+02,1.309e+02,3.989e+03
185.9,2.889e+03,7.018e+02,1.439e+02,3.735e+03
187.5,2.672e+03,6.429e+02,1.717e+02,3.486e+03
189.1,2.505e+03,5.446e+02,1.633e+02,3.213e+03
190.7,2.693e+03,4.801e+02,1.603e+02,3.334e+03
192.3,3.189e+03,4.766e+02,1.395e+02,3.805e+03
193.9,3.165e+03,4.101e+02,1.202e+02,3.696e+03
195.5,2.876e+03,3.416e+02,1.177e+02,3.335e+03
197.1,2.853e+03,3.236e+02,1.237e+02,3.301e+03
198.7,2.947e+03,3.369e+02,1.404e+02,3.424e+03
