freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.200e+03,1.794e+01,4.211e+01,1.260e+03
1.6,6.849e+02,3.264e+01,5.718e+01,7.747e+02
3.1,3.560e+01,3.430e+01,4.805e+01,1.179e+02
4.7,3.611e+02,3.330e+01,4.995e+01,4.443e+02
6.3,1.219e+03,3.648e+01,6.375e+01,1.319e+03
7.8,2.016e+03,3.791e+01,9.772e+01,2.152e+03
9.4,2.462e+03,4.153e+01,7.085e+01,2.575e+03
11.0,2.934e+03,4.516e+01,5.480e+01,3.034e+03
12.5,3.952e+03,4.496e+01,5.376e+01,4.051e+03
14.1,5.072e+03,4.024e+01,5.274e+01,5.165e+03
15.7,6.292e+03,3.805e+01,5.114e+01,6.382e+03
17.2,7.590e+03,4.808e+01,4.942e+01,7.688e+03
18.8,8.793e+03,7.099e+01,5.187e+01,8.916e+03
20.4,1.018e+04,6.721e+01,5.560e+01,1.030e+04
21.9,1.185e+04,5.672e+01,5.623e+01,1.196e+04
23.5,1.351e+04,5.433e+01,5.804e+01,1.362e+04
25.1,1.524e+04,5.224e+01,5.603e+01,1.535e+04
26.6,1.727e+04,5.250e+01,5.592e+01,1.737e+04
28.2,1.962e+04,5.507e+01,5.684e+01,1.973e+04
29.8,2.239e+04,4.423e+01,6.450e+01,2.250e+04
31.4,2.560e+04,3.630e+01,7.164e+01,2.571e+04
32.9,2.853e+04,3.857e+01,7.394e+01,2.864e+04
34.5,3.159e+04,3.945e+01,7.189e+01,3.170e+04
36.1,3.492e+04,3.790e+01,7.427e+01,3.503e+04
37.6,3.867e+04,4.547e+01,8.842e+01,3.880e+04
39.2,4.197e+04,4.689e+01,9.283e+01,4.211e+04
40.8,4.580e+04,4.738e+01,9.125e+01,4.594e+04
42.3,5.093e+04,4.783e+01,9.966e+01,5.108e+04
43.9,5.448e+04,4.809e+01,9.398e+01,5.462e+04
45.5,5.950e+04,5.076e+01,1.010e+02,5.965e+04
47.0,6.722e+04,5.158e+01,1.079e+02,6.738e+04
48.6,7.423e+04,5.623e+01,1.193e+02,7.440e+04
50.2,7.929e+04,6.212e+01,1.397e+02,7.949e+04
51.7,8.880e+04,7.356e+01,1.630e+02,8.904e+04
53.3,1.006e+05,8.115e+01,1.724e+02,1.008e+05
54.9,1.128e+05,8.434e+01,1.922e+02,1.130e+05
56.4,1.237e+05,8.470e+01,2.349e+02,1.240e+05
58.0,1.328e+05,1.037e+02,3.220e+02,1.332e+05
59.6,1.486e+05,1.551e+02,4.543e+02,1.492e+05
61.1,1.694e+05,2.753e+02,6.357e+02,1.703e+05
62.7,1.948e+05,4.561e+02,8.619e+02,1.961e+05
64.3,2.241e+05,6.617e+02,1.041e+03,2.258e+05
65.8,2.549e+05,9.442e+02,1.260e+03,2.571e+05
67.4,2.789e+05,1.428e+03,1.612e+03,2.819e+05
69.0,3.148e+05,2.047e+03,2.129e+03,3.190e+05
70.5,3.752e+05,2.609e+03,2.554e+03,3.804e+05
72.1,4.352e+05,2.986e+03,2.513e+03,4.407e+05
73.7,5.078e+05,3.800e+03,2.277e+03,5.139e+05
75.2,6.007e+05,6.634e+03,2.586e+03,6.099e+05
76.8,7.082e+05,9.570e+03,2.174e+03,7.200e+05
78.4,8.721e+05,6.678e+03,5.393e+03,8.842e+05
79.9,1.091e+06,2.657e+03,1.998e+04,1.114e+06
81.5,1.318e+06,8.388e+02,4.197e+04,1.361e+06
83.1,1.601e+06,3.715e+02,6.694e+04,1.668e+06
84.7,2.165e+06,7.064e+02,9.401e+04,2.259e+06
86.2,3.115e+06,2.496e+03,1.206e+05,3.238e+06
87.8,4.499e+06,5.852e+03,1.415e+05,4.647e+06
89.4,6.352e+06,8.244e+03,1.559e+05,6.516e+06
90.9,8.360e+06,1.035e+04,1.782e+05,8.548e+06
92.5,9.284e+06,1.308e+04,1.983e+05,9.496e+06
94.1,9.097e+06,1.413e+04,1.930e+05,9.304e+06
95.6,8.543e+06,1.387e+04,1.759e+05,8.733e+06
97.2,7.436e+06,1.331e+04,1.726e+05,7.622e+06
98.8,6.573e+06,1.377e+04,1.775e+05,6.764e+06
100.3,6.036e+06,1.560e+04,1.854e+05,6.237e+06
101.9,5.468e+06,1.743e+04,1.788e+05,5.665e+06
103.5,4.811e+06,1.782e+04,1.519e+05,4.981e+06
105.0,3.761e+06,1.943e+04,1.406e+05,3.921e+06
106.6,3.134e+06,2.727e+04,1.599e+05,3.321e+06
108.2,2.861e+06,4.202e+04,1.836e+05,3.087e+06
109.7,2.571e+06,5.769e+04,1.872e+05,2.816e+06
111.3,2.271e+06,7.784e+04,1.883e+05,2.537e+06
112.9,2.120e+06,1.127e+05,1.956e+05,2.428e+06
114.4,2.253e+06,1.499e+05,1.796e+05,2.583e+06
116.0,2.296e+06,1.538e+05,1.233e+05,2.573e+06
117.6,2.082e+06,1.377e+05,6.931e+04,2.289e+06
119.1,1.880e+06,1.212e+05,3.996e+04,2.041e+06
120.7,1.756e+06,9.940e+04,2.631e+04,1.882e+06
122.3,1.652e+06,7.992e+04,1.797e+04,1.750e+06
123.8,1.585e+06,6.634e+04,1.386e+04,1.665e+06
125.4,1.538e+06,5.696e+04,1.186e+04,1.607e+06
127.0,1.514e+06,5.029e+04,1.089e+04,1.575e+06
128.5,1.471e+06,4.603e+04,1.083e+04,1.528e+06
130.1,1.412e+06,4.440e+04,1.119e+04,1.468e+06
131.7,1.246e+06,4.041e+04,1.054e+04,1.297e+06
133.2,5.077e+05,1.692e+04,4.423e+03,5.290e+05
134.8,4.261e+04,1.382e+03,3.828e+02,4.437e+04
136.4,1.887e+04,6.569e+02,1.824e+02,1.971e+04
138.0,1.657e+04,9.635e+02,1.974e+02,1.773e+04
139.5,1.456e+04,1.584e+03,2.420e+02,1.639e+04
141.1,1.347e+04,2.337e+03,2.454e+02,1.606e+04
142.7,1.317e+04,3.152e+03,2.439e+02,1.657e+04
144.2,1.277e+04,3.906e+03,2.689e+02,1.694e+04
145.8,1.251e+04,4.715e+03,2.779e+02,1.751e+04
147.4,1.261e+04,5.845e+03,2.955e+02,1.875e+04
148.9,1.512e+04,8.278e+03,3.218e+02,2.372e+04
150.5,1.739e+04,1.107e+04,3.501e+02,2.882e+04
