freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.510e+01,3.029e+01,8.095e+02,8.749e+02
1.6,3.979e+01,4.308e+01,4.979e+02,5.807e+02
3.1,2.558e+01,4.119e+01,6.613e+01,1.329e+02
4.7,3.069e+01,4.148e+01,4.285e+02,5.007e+02
6.3,3.162e+01,3.616e+01,1.405e+03,1.473e+03
7.8,3.654e+01,3.108e+01,1.822e+03,1.890e+03
9.4,4.394e+01,3.073e+01,2.400e+03,2.475e+03
11.0,3.354e+01,3.250e+01,3.408e+03,3.474e+03
12.6,3.366e+01,3.143e+01,4.569e+03,4.634e+03
14.1,3.693e+01,3.041e+01,5.864e+03,5.931e+03
15.7,4.044e+01,3.254e+01,7.495e+03,7.568e+03
17.3,4.548e+01,4.579e+01,9.474e+03,9.565e+03
18.8,5.295e+01,7.237e+01,1.181e+04,1.194e+04
20.4,5.015e+01,4.336e+01,1.444e+04,1.453e+04
22.0,5.368e+01,3.951e+01,1.448e+04,1.458e+04
23.5,5.134e+01,5.520e+01,1.599e+04,1.610e+04
25.1,4.113e+01,6.003e+01,1.867e+04,1.877e+04
26.7,3.433e+01,5.819e+01,2.091e+04,2.101e+04
28.3,3.230e+01,5.605e+01,2.385e+04,2.394e+04
29.8,3.592e+01,5.361e+01,2.704e+04,2.713e+04
31.4,4.201e+01,4.200e+01,3.064e+04,3.073e+04
33.0,4.565e+01,3.635e+01,3.488e+04,3.496e+04
34.5,5.139e+01,3.527e+01,4.018e+04,4.027e+04
36.1,6.868e+01,3.346e+01,4.459e+04,4.469e+04
37.7,9.071e+01,3.324e+01,5.057e+04,5.069e+04
39.2,1.021e+02,3.019e+01,5.771e+04,5.784e+04
40.8,1.140e+02,2.802e+01,6.765e+04,6.779e+04
42.4,1.421e+02,2.530e+01,7.784e+04,7.801e+04
43.9,1.920e+02,2.651e+01,8.473e+04,8.495e+04
45.5,2.696e+02,3.335e+01,9.669e+04,9.700e+04
47.1,3.747e+02,4.459e+01,1.159e+05,1.163e+05
48.7,4.592e+02,6.010e+01,1.355e+05,1.360e+05
50.2,5.627e+02,9.372e+01,1.523e+05,1.529e+05
51.8,7.334e+02,1.675e+02,1.862e+05,1.871e+05
53.4,1.029e+03,3.363e+02,2.383e+05,2.397e+05
54.9,1.496e+03,5.560e+02,2.946e+05,2.966e+05
56.5,2.009e+03,6.155e+02,3.389e+05,3.415e+05
58.1,2.583e+03,6.229e+02,3.839e+05,3.871e+05
59.6,4.096e+03,8.023e+02,5.139e+05,5.188e+05
61.2,7.216e+03,1.618e+03,7.837e+05,7.926e+05
62.8,1.216e+04,4.038e+03,1.340e+06,1.356e+06
64.4,2.178e+04,8.879e+03,2.427e+06,2.457e+06
65.9,3.808e+04,1.554e+04,4.023e+06,4.077e+06
67.5,5.226e+04,2.064e+04,4.750e+06,4.823e+06
69.1,6.353e+04,2.430e+04,4.336e+06,4.424e+06
70.6,7.344e+04,2.896e+04,3.603e+06,3.706e+06
72.2,7.855e+04,3.282e+04,2.762e+06,2.873e+06
73.8,7.598e+04,3.593e+04,2.017e+06,2.128e+06
75.3,7.234e+04,4.212e+04,1.445e+06,1.560e+06
76.9,7.138e+04,5.017e+04,1.109e+06,1.230e+06
78.5,6.783e+04,5.954e+04,1.074e+06,1.201e+06
80.0,6.608e+04,6.002e+04,1.193e+06,1.319e+06
81.6,6.534e+04,4.792e+04,1.193e+06,1.306e+06
83.2,6.278e+04,4.625e+04,1.110e+06,1.219e+06
84.8,5.940e+04,5.067e+04,1.107e+06,1.217e+06
86.3,5.011e+04,5.034e+04,1.106e+06,1.206e+06
87.9,3.943e+04,4.699e+04,1.063e+06,1.149e+06
89.5,4.027e+04,4.512e+04,1.000e+06,1.086e+06
91.0,4.150e+04,4.297e+04,9.131e+05,9.975e+05
92.6,3.569e+04,4.168e+04,8.364e+05,9.138e+05
94.2,2.741e+04,4.014e+04,7.858e+05,8.533e+05
95.7,2.456e+04,4.026e+04,8.163e+05,8.811e+05
97.3,2.382e+04,4.442e+04,8.817e+05,9.500e+05
98.9,2.133e+04,4.906e+04,9.147e+05,9.851e+05
100.5,1.702e+04,5.357e+04,9.209e+05,9.915e+05
102.0,1.479e+04,5.587e+04,8.586e+05,9.293e+05
103.6,1.479e+04,5.443e+04,7.391e+05,8.083e+05
105.2,1.855e+04,4.866e+04,5.820e+05,6.492e+05
106.7,2.131e+04,5.312e+04,5.302e+05,6.046e+05
108.3,1.216e+04,7.495e+04,5.828e+05,6.699e+05
109.9,8.985e+03,1.046e+05,6.260e+05,7.395e+05
111.4,1.803e+04,1.379e+05,6.129e+05,7.689e+05
113.0,4.230e+04,1.830e+05,5.582e+05,7.835e+05
114.6,8.433e+04,2.344e+05,4.639e+05,7.826e+05
116.1,1.223e+05,2.300e+05,3.300e+05,6.824e+05
117.7,1.293e+05,1.832e+05,2.283e+05,5.408e+05
119.3,1.307e+05,1.460e+05,1.728e+05,4.495e+05
120.9,1.123e+05,1.173e+05,1.428e+05,3.725e+05
122.4,8.308e+04,8.998e+04,1.224e+05,2.954e+05
124.0,6.708e+04,6.818e+04,1.115e+05,2.468e+05
125.6,5.549e+04,5.129e+04,1.110e+05,2.178e+05
127.1,4.537e+04,3.911e+04,1.161e+05,2.006e+05
128.7,3.982e+04,3.102e+04,1.199e+05,1.908e+05
130.3,3.980e+04,2.637e+04,1.226e+05,1.888e+05
131.8,3.798e+04,2.153e+04,1.150e+05,1.746e+05
133.4,2.267e+04,9.703e+03,4.965e+04,8.203e+04
135.0,1.782e+04,2.499e+03,6.368e+03,2.669e+04
136.6,2.562e+04,1.705e+03,5.035e+03,3.236e+04
138.1,3.343e+04,1.657e+03,5.584e+03,4.067e+04
139.7,3.874e+04,1.921e+03,5.878e+03,4.654e+04
141.3,4.063e+04,2.127e+03,5.563e+03,4.832e+04
142.8,4.024e+04,2.301e+03,4.838e+03,4.738e+04
144.4,4.300e+04,2.919e+03,4.419e+03,5.034e+04
146.0,4.486e+04,4.655e+03,3.873e+03,5.338e+04
147.5,3.720e+04,6.916e+03,2.625e+03,4.674e+04
149.1,2.589e+04,7.353e+03,1.834e+03,3.508e+04
150.7,1.653e+04,5.241e+03,1.495e+03,2.326e+04
152.2,1.081e+04,2.921e+03,1.263e+03,1.499e+04
153.8,7.989e+03,2.566e+03,1.224e+03,1.178e+04
155.4,6.891e+03,4.203e+03,1.221e+03,1.231e+04
157.0,6.144e+03,7.142e+03,1.100e+03,1.439e+04
158.5,6.310e+03,1.116e+04,8.437e+02,1.832e+04
160.1,7.932e+03,1.403e+04,8.338e+02,2.279e+04
161.7,9.780e+03,1.523e+04,1.047e+03,2.606e+04
163.2,1.193e+04,1.568e+04,1.449e+03,2.906e+04
164.8,1.428e+04,1.434e+04,1.973e+03,3.060e+04
166.4,1.722e+04,1.413e+04,2.624e+03,3.397e+04
167.9,1.940e+04,1.366e+04,3.295e+03,3.636e+04
169.5,2.258e+04,1.386e+04,4.175e+03,4.061e+04
171.1,2.556e+04,1.395e+04,6.099e+03,4.561e+04
172.7,2.394e+04,1.204e+04,8.348e+03,4.432e+04
174.2,1.701e+04,7.612e+03,8.459e+03,3.308e+04
175.8,1.047e+04,4.062e+03,7.378e+03,2.191e+04
177.4,6.820e+03,2.262e+03,6.120e+03,1.520e+04
178.9,5.331e+03,1.410e+03,5.003e+03,1.174e+04
180.5,5.236e+03,1.105e+03,4.342e+03,1.068e+04
182.1,6.011e+03,1.190e+03,3.863e+03,1.106e+04
183.6,6.640e+03,1.372e+03,3.776e+03,1.179e+04
185.2,6.693e+03,1.455e+03,3.992e+03,1.214e+04
186.8,7.451e+03,1.725e+03,4.412e+03,1.359e+04
188.3,8.748e+03,2.043e+03,4.621e+03,1.541e+04
189.9,1.084e+04,2.450e+03,4.895e+03,1.819e+04
191.5,1.262e+04,3.197e+03,4.822e+03,2.064e+04
193.1,1.456e+04,4.434e+03,4.112e+03,2.310e+04
194.6,1.909e+04,5.797e+03,3.069e+03,2.796e+04
196.2,2.559e+04,6.834e+03,2.046e+03,3.447e+04
197.8,3.026e+04,7.200e+03,1.271e+03,3.873e+04
199.3,3.301e+04,7.125e+03,8.614e+02,4.100e+04
